,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Bathsheba,20,BB,1560207709,69,13.22,-59.52,82.4,19.46
86,Nagamangala,100,IN,1560207710,81,12.82,76.75,72.41,16.62
87,Bonthe,100,SL,1560207711,85,7.53,-12.5,78.89,5.19
88,Faya,40,SA,1560207712,40,18.39,42.45,75.2,2.21
89,Nisia Floresta,75,BR,1560207713,88,-6.09,-35.21,77.0,5.82
90,Coari,84,BR,1560207715,76,-4.09,-63.14,79.07,1.28
91,Mitu,1,IR,1560207716,54,36.2,46.09,64.13,4.76
92,Shambu,100,ET,1560207717,98,9.57,37.1,56.39,1.61
93,Hithadhoo,93,MV,1560207718,79,-0.6,73.08,83.21,8.25
94,Eyl,100,SO,1560207720,57,7.98,49.82,82.49,22.86
95,Gamba,1,CN,1560207721,60,28.28,88.52,36.41,4.18
96,Capanema,0,BR,1560207722,88,-25.67,-53.8,68.0,5.82
97,El Tocuyo,75,VE,1560207723,65,9.79,-69.8,78.8,10.29
98,Mabaruma,24,GY,1560207725,92,8.2,-59.78,74.03,2.86
99,Djibo,91,BF,1560207726,28,14.1,-1.63,97.61,10.85
100,Cabedelo,75,BR,1560207727,83,-6.97,-34.84,78.8,6.93
101,Sayyan,29,YE,1560207728,60,15.17,44.32,71.87,2.01
102,Gbarnga,100,LR,1560207730,99,7.0,-9.47,71.51,2.33
103,Gunjur,0,GM,1560207731,88,13.18,-16.76,77.0,8.05
104,Weligama,100,LK,1560207732,80,5.97,80.42,84.29,16.37
105,Jacareacanga,96,BR,1560207733,62,-6.22,-57.76,83.03,1.88
106,Port Blair,99,IN,1560207734,78,11.67,92.75,85.19,27.38
107,Mattru,100,SL,1560207736,94,7.62,-11.83,75.65,2.95
108,Mega,22,ET,1560207737,63,4.06,38.32,70.25,12.08
109,Kolda,100,SN,1560207738,58,12.89,-14.94,84.11,7.85
110,Ratnagiri,100,IN,1560207739,81,16.98,73.3,84.47,22.59
111,Tabou,61,CI,1560207666,89,4.42,-7.36,74.39,2.91
112,Mettur,100,IN,1560207742,84,11.8,77.8,75.47,0.54
113,Soyo,38,AO,1560207743,85,-6.13,12.37,76.01,5.21
114,Bani,100,PH,1560207744,77,15.89,120.27,83.93,5.84
115,Jardim,3,BR,1560207746,65,-21.48,-56.15,67.73,3.76
116,Luis Correia,40,BR,1560207747,83,-2.88,-41.67,82.4,5.82
117,Kindu,22,CD,1560207748,64,-2.95,25.92,68.99,2.66
118,Anloga,20,GH,1560207749,88,5.79,0.9,78.8,10.29
119,Foso,70,GH,1560207751,95,5.7,-1.29,72.95,2.24
120,Dwarka,0,IN,1560207752,24,28.58,77.04,95.0,3.36
121,Mao,40,DO,1560207636,74,19.55,-71.08,84.2,17.22
122,Jalingo,90,NG,1560207754,55,10.3,10.93,84.83,10.74
123,Idanre,53,NG,1560207755,99,7.11,5.11,71.87,2.26
124,Ouadda,100,CF,1560207757,92,8.07,22.4,70.61,2.84
125,Moyale,87,ET,1560207758,78,3.52,39.05,69.89,7.74
126,Ponta do Sol,5,BR,1560207759,87,-20.63,-46.0,56.93,3.85
127,Ciudad Bolivar,100,VE,1560207760,52,8.12,-63.55,87.17,6.4
128,Sinnamary,28,GF,1560207761,84,5.38,-52.96,79.79,14.34
129,Harur,100,IN,1560207763,72,12.06,78.48,79.07,8.05
130,Campoalegre,75,CO,1560207764,74,2.69,-75.33,78.8,11.41
131,Macau,100,BR,1560207765,87,-5.11,-36.64,76.01,13.91
132,Bolobo,13,CD,1560207766,56,-2.17,16.23,77.45,2.48
133,Solano,98,PH,1560207768,77,16.52,121.18,75.29,3.11
134,Mindelo,40,PT,1560207769,87,41.31,-8.72,60.01,10.29
135,Cotonou,82,BJ,1560207770,89,6.37,2.43,76.91,5.48
