,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Sorab,96,IN,1560208064,85,14.38,75.1,74.57,11.41
374,Kovur,99,IN,1560208065,43,14.5,79.99,91.67,8.12
375,Chake Chake,3,TZ,1560208067,72,-5.25,39.77,82.49,22.59
376,Bhadrachalam,97,IN,1560208068,69,17.67,80.89,86.63,7.47
377,Issenye,39,CM,1560208069,60,12.51,14.37,82.85,6.89
378,Watsa,45,CD,1560208070,97,3.04,29.53,63.59,1.97
379,Darien,40,US,1560207821,33,41.75,-87.98,75.99,17.22
380,Asosa,98,ET,1560208073,92,10.07,34.53,63.95,3.87
381,kimparana,74,ML,1560208074,37,12.83,-4.92,94.19,10.45
382,Bedesa,15,ET,1560208075,78,8.9,40.78,65.03,7.65
383,Saa,99,NG,1560208076,88,7.32,10.08,76.37,4.5
384,Hirna,17,ET,1560208078,99,9.22,41.1,56.39,4.92
385,Duayaw Nkwanta,100,GH,1560208079,99,7.17,-2.1,72.05,2.3
386,Muli,7,IN,1560208080,65,22.62,71.45,85.73,13.29
387,Gandajika,33,CD,1560208081,40,-6.75,23.95,66.65,2.89
388,Kitgum,65,UG,1560208083,91,3.3,32.88,63.95,3.69
389,Itacoatiara,100,BR,1560208084,84,-3.14,-58.44,78.17,3.42
390,Nikki,90,BJ,1560208085,89,9.94,3.21,74.21,10.54
391,Mucurapo,20,TT,1560208086,65,10.67,-61.53,82.99,11.41
392,Dahra,0,DZ,1560208087,55,36.25,0.85,64.4,5.82
393,Padang,56,ID,1560208089,77,-0.92,100.36,83.03,3.47
394,Kirando,9,TZ,1560208090,59,-7.37,30.62,75.47,14.36
395,Matadi,33,CD,1560208091,95,-5.83,13.46,69.53,2.28
396,Ouargaye,90,BF,1560208092,50,11.5,0.06,89.15,12.12
397,Bafoulabe,100,ML,1560208093,36,13.81,-10.83,92.57,3.22
398,Ariguani,100,CO,1560208095,70,10.25,-74.0,82.49,7.2
399,Prainha,100,BR,1560208096,98,-1.8,-53.48,75.11,2.24
400,Dagua,75,CO,1560208097,54,3.66,-76.69,84.2,10.29
401,Amalapuram,100,IN,1560208098,64,16.58,82.0,88.79,12.12
402,Ratnapura,83,IN,1560208100,54,17.9,77.63,86.09,16.78
403,Maine-Soroa,32,NE,1560208101,21,13.21,12.02,94.19,5.93
404,Kabala,100,SL,1560208102,97,9.59,-11.55,74.57,3.62
405,Madras,1,US,1560208055,21,44.63,-121.13,87.01,7.87
406,Marawi,100,PH,1560208104,90,8.0,124.29,78.01,3.0
407,Elesbao Veloso,53,BR,1560208106,66,-6.2,-42.14,77.27,5.7
408,Port Victoria,0,AU,1560208107,62,-34.5,137.49,62.15,22.88
409,Sedhiou,100,SN,1560208108,72,12.71,-15.56,79.97,8.59
410,Suleja,20,NG,1560208109,83,9.18,7.18,78.8,2.24
411,Bolgatanga,98,GH,1560208111,52,10.79,-0.85,87.35,9.01
412,Oistins,20,BB,1560208112,69,13.07,-59.53,82.4,19.46
413,Batangafo,90,CF,1560208113,83,7.3,18.29,76.73,1.77
414,Basse-Pointe,75,MQ,1560208114,74,14.87,-61.12,84.2,10.29
415,Tutoia,40,BR,1560208116,83,-2.76,-42.27,82.4,5.82
416,Boende,13,CD,1560208117,55,-0.28,20.88,71.87,1.92
417,Santa Luzia,0,BR,1560208118,77,-19.77,-43.85,66.2,8.05
418,Sangueya,100,GN,1560208119,84,10.7,-14.37,79.97,6.58
419,Lafiagi,77,NG,1560208121,88,8.85,5.42,75.83,10.11
420,Pedernales,28,EC,1560208122,81,0.07,-80.05,78.35,11.27
421,Juripiranga,75,BR,1560208123,83,-7.37,-35.24,78.8,6.93
422,Tame,100,CO,1560208124,99,6.46,-71.72,53.87,1.43
423,Oum Hadjer,67,TD,1560208125,40,13.3,19.7,89.69,5.14
424,Macherla,99,IN,1560208127,48,16.48,79.44,88.43,15.17
425,Valvedditturai,100,LK,1560208128,78,9.82,80.17,85.55,27.22
426,Kyabe,96,TD,1560208129,75,9.45,18.94,77.81,0.69
427,Sibut,40,CF,1560208130,75,5.73,19.09,73.49,2.71
428,Inyonga,0,TZ,1560208132,64,-6.72,32.06,59.63,6.96
429,Ilebo,30,CD,1560208133,48,-4.33,20.59,67.73,1.81
430,Dese,0,IT,1560208134,65,45.53,12.3,77.0,6.93
431,Mubende,36,UG,1560208135,98,0.56,31.4,60.35,1.99
432,Kasiri,100,SL,1560208136,80,8.94,-13.11,81.77,8.88
433,Ati,52,TD,1560208138,35,13.21,18.34,92.21,5.12
434,Kumbo,71,CM,1560208139,91,6.21,10.69,63.05,0.45
435,Oussouye,46,SN,1560208140,89,12.49,-16.54,76.37,12.75
436,Enugu,20,NG,1560208141,88,6.45,7.5,78.8,3.36
437,Aripuana,100,BR,1560208143,67,-9.17,-60.63,77.63,1.39
438,Camocim,34,BR,1560208144,92,-2.9,-40.84,76.01,4.99
439,Nauta,17,PE,1560208145,90,-4.51,-73.58,75.65,1.9
440,Minjur,40,IN,1560208146,49,13.28,80.26,91.4,10.29
441,Kassala,100,SD,1560208147,52,15.45,36.38,87.89,18.41
442,Carnot,97,CF,1560207903,94,4.94,15.87,69.17,3.2
443,Oyugis,35,KE,1560208150,91,-0.51,34.73,63.05,4.45
444,Wajid,35,SO,1560208151,69,3.81,43.25,76.55,18.95
445,Maicao,100,CO,1560208152,57,11.38,-72.24,87.17,10.56
446,Lubao,75,PH,1560208153,94,14.94,120.6,84.0,6.93
447,Ouallam,71,NE,1560208155,31,14.32,2.08,96.17,6.06
448,Dubti,0,ET,1560208156,34,11.74,41.09,94.01,6.78
449,Bria,98,CF,1560208157,89,6.54,21.99,71.51,2.8
450,Inirida,30,CO,1560208158,99,3.87,-67.92,74.57,2.28
451,Boa Vista,75,BR,1560208160,74,2.82,-60.67,82.4,4.7
452,El Retorno,98,CO,1560208162,99,2.33,-72.63,70.43,2.1
453,Sainte-Marie,75,CA,1560208163,53,46.45,-71.03,71.6,13.87
454,Ngorongoro,1,TZ,1560208164,81,-3.24,35.49,62.33,12.64
455,Asaba,99,NG,1560208165,96,6.19,6.75,73.31,4.21
456,Ouango,36,CD,1560208167,68,4.31,22.55,71.69,1.21
457,Solenzo,92,BF,1560208168,51,12.18,-4.08,86.63,6.02
458,Vigia del Fuerte,100,CO,1560208169,87,6.58,-76.89,78.17,3.02
459,Mendi,99,ET,1560208170,94,9.8,35.1,63.23,3.69
460,Ouesso,23,CG,1560208171,66,1.61,16.05,73.67,0.38
461,Manaus,40,BR,1560207913,74,-3.13,-59.98,84.2,4.7
462,Atkinson,20,US,1560208174,22,41.42,-90.02,78.01,11.41
463,Bandiagara,43,ML,1560208175,27,14.35,-3.61,98.69,6.87
464,Beni,68,CD,1560208176,97,0.49,29.47,64.67,2.64
465,Tonantins,62,BR,1560208177,97,-2.86,-67.77,74.39,1.83
466,Mugumu,54,TZ,1560208179,82,-1.84,34.67,61.79,2.93
467,Kerur,96,IN,1560208180,70,16.02,75.57,79.43,20.94
468,Kidal,99,ML,1560208181,17,18.44,1.41,97.97,7.9
469,Nzega,1,TZ,1560208182,52,-4.22,33.19,65.03,5.08
470,Robertsport,88,LR,1560208184,92,6.75,-11.37,76.37,5.68
471,Bako,0,NG,1560208185,78,9.68,6.4,82.4,5.82
472,Sagana,81,KE,1560208186,97,-0.67,37.21,56.39,3.15
473,Gimbi,99,ET,1560208187,98,8.81,37.79,54.41,3.69
474,Bara,90,NG,1560208188,55,10.41,10.6,84.83,10.74
475,Niamtougou,100,TG,1560208190,79,9.77,1.11,78.17,5.7
476,Goundam,81,ML,1560208191,28,16.42,-3.66,97.79,22.68
477,Mango,40,IT,1560208192,88,44.69,8.15,69.01,5.82
478,Itaituba,68,BR,1560208078,81,-4.26,-55.99,78.53,3.0
479,Wamba,75,CD,1560208194,98,2.14,27.99,67.19,1.74
480,Ikom,100,NG,1560208196,90,5.96,8.72,75.65,4.47
481,Bom Jardim,75,BR,1560208197,65,-7.8,-35.59,77.0,10.29
482,Korem,74,ET,1560208198,75,12.51,39.52,58.55,1.88
483,Beruwala,100,LK,1560208200,79,6.48,79.98,84.47,18.54
484,San Estanislao,100,PY,1560208201,73,-24.67,-56.44,68.27,7.99
485,Presidente Dutra,36,BR,1560208031,68,-5.29,-44.49,78.89,3.83
486,Sao Caetano de Odivelas,40,BR,1560208203,81,-0.75,-48.02,80.15,9.42
487,Abalak,44,NE,1560208204,13,15.46,6.28,96.17,4.92
488,Ambilobe,73,MG,1560208206,63,-13.19,49.05,73.31,5.21
489,Kulhudhuffushi,96,MV,1560208207,79,6.62,73.07,83.75,17.98
490,Guatire,100,VE,1560207971,72,10.47,-66.54,72.0,5.77
491,Pimenteiras,37,BR,1560208209,74,-6.24,-41.42,72.95,5.26
492,Benjamin Constant,0,BR,1560208210,88,-4.38,-70.03,75.2,2.24
493,Humaita,0,AR,1560208211,63,-24.93,-65.37,64.4,6.93
494,Barentu,100,ER,1560208213,63,15.11,37.59,80.15,7.05
495,Kamwenge,33,UG,1560208148,76,0.19,30.45,66.29,3.31
496,Bati,98,ET,1560208215,68,11.19,40.02,70.25,6.08
497,Uribia,100,CO,1560208216,57,11.71,-72.27,87.17,10.56
498,Dogondoutchi,77,NE,1560208218,41,13.64,4.03,92.57,17.81
499,Paidha,76,UG,1560208219,94,2.42,30.99,60.53,4.27
500,Itupiranga,0,BR,1560208102,62,-5.13,-49.33,86.0,2.24
501,Timbuktu,32,ML,1560208221,30,16.77,-3.01,94.73,19.86
502,Wageningen,75,NL,1560208222,93,51.98,5.66,62.01,2.24
503,Maues,96,BR,1560208223,74,-3.38,-57.72,79.61,2.28
504,Baindur,100,IN,1560208225,81,13.87,74.63,81.77,19.71
505,Maiduguri,32,NG,1560208226,39,11.84,13.15,92.39,4.68
506,Koindu,100,LR,1560208227,97,8.2,-10.37,72.23,2.33
507,Toma,40,JP,1560208229,82,43.82,142.6,57.2,3.36
508,Kibiti,1,TZ,1560208230,86,-7.72,38.94,67.19,3.56
509,Kilindoni,40,TZ,1560208231,70,-7.91,39.67,80.69,20.04
510,Mvangue,96,CM,1560208232,99,2.97,11.5,67.73,2.51
511,Bajil,4,ES,1560208233,54,38.23,-2.07,55.0,5.01
512,El Vigia,20,MX,1560208235,26,26.85,-109.72,99.0,13.87
513,Kade,97,GH,1560208236,98,6.1,-0.84,72.23,2.44
514,Dunda,11,IN,1560208237,16,30.62,78.32,75.47,6.87
515,Sao Miguel do Tapuio,95,BR,1560208238,66,-5.5,-41.32,77.63,5.37
516,Hillsborough,75,US,1560208195,26,37.57,-122.38,100.4,3.36
517,Kaabong,75,UG,1560208241,88,3.51,34.14,62.51,1.3
518,Luanda,75,AO,1560207956,94,-8.83,13.24,71.6,4.7
519,Castelo do Piaui,78,BR,1560208243,62,-5.32,-41.55,79.79,6.82
520,Tchollire,100,CM,1560208244,62,8.4,14.17,79.79,3.27
521,Adoni,100,IN,1560208245,60,15.63,77.27,84.11,14.54
522,Upata,45,VE,1560208247,93,8.02,-62.41,73.13,5.57
523,Beberibe,40,BR,1560208248,74,-4.18,-38.13,82.4,16.11
524,Madaoua,76,NE,1560208249,31,14.07,5.96,95.81,9.98
525,Kitui,31,KE,1560208250,79,-1.37,38.02,63.77,2.71
526,Sal Rei,40,CV,1560208251,83,16.18,-22.92,73.4,18.34
527,Cabrera,100,CO,1560208253,90,3.98,-74.48,58.91,3.78
528,Gusau,60,NG,1560208254,55,12.17,6.66,84.83,13.53
529,Chateaubelair,40,VC,1560208255,83,13.28,-61.25,82.4,11.41
530,Birnin Kebbi,44,NG,1560208256,42,12.45,4.2,92.03,15.75
531,Bujumbura,69,BI,1560208258,98,-3.36,29.37,50.81,1.79
532,Inongo,0,CD,1560208259,42,-1.93,18.29,73.85,2.62
533,Amudat,35,UG,1560208260,91,1.95,34.95,63.59,0.54
534,Guhagar,100,IN,1560208261,79,17.48,73.19,85.19,18.9
535,Kinkala,38,CG,1560208262,88,-4.35,14.75,73.4,8.05
536,Obo,64,CF,1560208264,86,5.39,26.49,70.61,2.08
537,Takaungu,20,KE,1560208028,78,-3.68,39.86,77.0,5.82
538,Kibungo,40,RW,1560208266,63,-2.14,30.55,66.2,3.36
539,Bachaquero,100,VE,1560208267,59,9.96,-71.12,86.99,1.81
540,Mombasa,20,KE,1560208268,78,-4.05,39.67,77.0,5.82
541,Jawhar,93,IN,1560208270,85,19.91,73.23,83.75,6.62
542,Isiro,95,CD,1560208271,98,2.77,27.62,67.73,2.04
543,Contamana,0,PE,1560208272,64,-7.35,-75.01,76.37,0.89
544,Grenville,90,CA,1560208273,39,45.62,-74.6,82.4,9.17
545,Alindao,26,CF,1560208274,68,5.04,21.21,71.33,2.15
546,Salaga,100,GH,1560208276,88,8.55,-0.52,76.55,7.36
547,Male,36,UA,1560208277,86,50.74,33.7,64.67,5.39
548,Gouyave,20,GD,1560208278,74,12.16,-61.73,82.4,16.11
549,Puerto Lleras,40,CO,1560208279,54,8.16,-72.46,84.2,12.75
550,Bonfim,0,BR,1560208281,68,-20.33,-44.24,66.2,5.82
551,Mbarara,61,UG,1560208282,85,-0.61,30.65,63.59,2.42
552,Bukene,0,TZ,1560208283,57,-4.23,32.89,63.41,3.87
553,Luebo,38,CD,1560208284,50,-5.35,21.42,67.73,2.17
554,Lira,70,UG,1560208285,95,2.25,32.9,63.23,2.42
555,Sena Madureira,61,BR,1560208287,72,-9.07,-68.66,78.89,0.25
556,Tahoua,45,NE,1560208288,27,14.89,5.26,96.17,6.49
557,Beneditinos,0,BR,1560208289,66,-5.46,-42.36,84.2,3.36
558,Jizan,40,SA,1560208290,52,16.89,42.56,91.4,4.74
559,Nhamunda,94,BR,1560208291,98,-2.19,-56.71,75.11,2.57
560,Owo,57,NG,1560208293,98,7.2,5.59,72.59,2.64
561,Abonnema,37,NG,1560208294,86,4.71,6.79,75.65,6.26
562,Yorosso,62,ML,1560208029,44,12.35,-4.78,90.77,10.63
563,Kattivakkam,40,IN,1560208296,49,13.22,80.32,91.4,10.29
